Ngram,Definition,Example
libra,An astrological sign for people born between mid-September and mid-October,MOST UNDERRATED PAGE ON TWITTER❤️‍🔥WAY 2 SEXC - PART 2 (NEW PAGE) old 1 got deleted-Capricorn☀️Libra 🌓 Libra💫 VERSE 🥷 HMU 4 my ig NYC-DMV-NC Content creator
like video games,"Part of the phrase ""I like video games""",Hi I kaiden and I like video games
liner,"A slang term for the year someone was born (i.e. "" '96 liner"" refers to someone born in 1996","josephine/joey. 88 liner. BE era aRMy. 🐨 biased. PTDLA 3+4, PTDLV 3+4 💜 army forever bangtan forever 💜 18+"
lives matter,"Most often part of the phrase ""black lives matter"", a left-wing politics phrase. Less frequently used as part of the phrase ""white lives matter"" or ""blue lives matter"", right-wing political phrases",Human.Father.ex-republican.Deadhead.🎶🕺🎶🕺Indy 500.🏎🏁Black Lives Matter.
lo que,"A spanish phrase that roughly translates to ""what"" or ""that"" (i.e. ""descubre lo que m�s sue�a en la web"" translates to ""discover what you dream most on the web""","Descubre lo que más suena en la web. Noticias de acción, entretenimiento, insólito y todo lo que te gusta en un solo lugar."
located,"Most often part of the phrase ""located in"" or ""located at""","Connecting students to resources aimed at supporting and enriching your student experience at St. Thomas.
Located in Murray Herrick Hall (MHC) - Main Level"
lover,"Often used to indicate a hobby (i.e. ""fitness lover"" or ""nature lover"")",Freelance MUA | Mother | Wife | Fitness lover | Health Guru Instagram @Redlipstik_lace
maga,"An acronym for ""Make America Great Again"", a right-wing political phrase associated with Donald Trump","A Mom, Grandma , motorcycle riding enthusiast, love my country conservative#MAGA#TRUMP"
mi,The abbreviation for Michigan or the Spanish word for ,"Lakergang Detroit,;MI ✈️3⃣1⃣3⃣ 8️⃣5️⃣0️⃣ Chef Vick 👨🏽‍🍳💯"
mia,Either a reference to a person named Mia or an acronym for Missing in Action,mia | ig: bbylinkmel 🇨🇴🏳️‍🌈Im a 👽 ig:bbylinkmel👑
minors dni,"Short for ""Minors do not interact""","20 yo NB chubby cub from Georgia that just wants to show off sometimes | They/Them | Minors DNI 🔞 | 🐼 @florida_panda
Venmo: PupCypress
Only Fans: pup_cypress"
mission is to,"Part of the phrase ""Our/My mission is to""",Our mission is to #EndHunger in Chicago by providing nutritious food and social services to those in need.
mtg,"Short for Magic the Gathering, a trading-based card game",Joe / He/Him / NJ / Twitch Affiliate / FF XIV / MtG / Anime / Persona / Silent Hill / Memes /
mx,"Short for Mexico. Most often part of a link to a Mexican website, whose link ends with "".mx""",Somos la Red de Exalumnos de la #UNAM en Washington D.C. ¡Súmate! Escríbenos a redunamdc@exalumno.unam.mx
n de,"A result of unexpected tokenization with Spanish words. For example, ""No tengo opini�n de todo"" translates to ""I don't have an opinion on everything"" and ""opini�n de"" is tokenized into ""opini"", ""n"", and ""de""","No tengo opinión de todo, para ello antes debería pensarlo, estudiarlo, meditarlo..puff"
nfl,Short for National Football League,"Lover of Sports, mainly Detroit Lions, Pistons, Tigers and Red Wings, but follow the rest of the NFL, NBA, MLB & NHL about as closely. Self employed."
nft,"Short for ""Non Fungible Token"", a digital item whose transactions are recorded on the blockchain",Between abstract expressionism and modern realism | NFT Artist & Immunologist | 💜🔮👼
not financial,"Part of the phrase ""not financial advice""",Crypto Maniac 🦁💙💙‼️ bring you some of the best projects out there.. this is not financial advice always do ya own dd but I promise you’ll like what you see
not spoiler,"Usually part of the phrase ""not spoiler free""","She/They
*Minor*
15
Pan
***NOT SPOILER FREE****

I follow back :)"
nsfw,"Short for ""not safe for work""","18+ for NSFW. 
DMs open for any and all reasons.
If you have questions, feel free to DM as well.
Writer is male/21 y/o.Overly flirty by nature."
o e,"Most often appears as part of phrase H.O.E (happiness over everything), F.O.E (family over everything), or another similar phrase",Keepin’ it a band don’t cost shit 💯 | T$Q 💰| M.O.E 💸 | 🔱 6.15.12.11.14 🔱
ot7,"Short for ""one true 7"", a reference to the K-pop group BTS","6.10.2022 WE ARE BULLETPROOF : BTS PROOF 💜 BTS 💜 
'95 💜
🏳️‍🌈 💜
OT7 💜"
page of the,"Part of the phrase ""Twitter page of the""",The Official Twitter Page of the Niagara University Women's Lacrosse Team.
pan,"Short for pansexual, a sexual identity whenre someone is attracted to others regardless of gender","An aspiring naturist in New Hampshire--
Pan | Agender | They/Them | Body Positive--
The dirtier side of this dog can be found here if you please: @CamarosGarage"
para,"A Spanish preposition for ""for""","无聊阿胖的日常罢了🦭/160cm, 85kg/坐标广州/不加v不加q／喜欢肌肉壮汉💪／随时发脾气翻脸/中文&English, Español para principiantes"
patriot,Generally appears alongside right-wing political phrases,"Christian, Father, Husband, Conservative, Republican, Gun Owner, Land Owner, Patriot, AMERICAN Indian and anything else I put my mind to be or do."
pero,"A Spanish word for ""but""","ㅎㅅㅎ ✨ 💚💜💖  Sé hacerle al UX Research, pero no a armar bios."
pfp by,A reference to the user's Twitter profile picture,"23 Y.O. grey-sexual art dumbass who draws like 90% p0rn

Adults only dick head

Role reversal shit is my specialty~


Pfp by @phoerencomics"
polyam,Short for polyamorous,"Pisces 🌙 BLM 🖤 Rock, Plant & Bone Collector 🪴 Bisexual Polyam 🌈 Disabled 420 Spoonie, just figuring life out with @kylespisla & my Queen 🐝"
por,"A Spanish preposition for ""for""",single respetuoso con gusto por los tríos hmh solo les pido una oportunidad y no se arrepentirán.. cualquier foto que gusten al md ustedes proponen😉
profile pic by,A reference to the user's Twitter profile picture,hi! just a guy from Texas who wears diapers. feel free to chat whenever. 26Y/O  (header by Someboondoggle) (profile pic by Kurikia)
providing,Most often ocurring in brand or corporate accounts,"Software development team providing consulting & education #JavaScript, #Java & #dotNET. Creators of #Mockola & #FlyTyerWorld. We share what we love: dev."
pup,Short for puppy,"20 yo NB chubby cub from Georgia that just wants to show off sometimes | They/Them | Minors DNI 🔞 | 🐼 @florida_panda
Venmo: PupCypress
Only Fans: pup_cypress"
que,"A spanish preposition for ""what"" or ""that"". (i.e. ""que la vida da mil vueltas"" translates to ""Rejoice, that life gives you a thousand rotations (years)"")","Gozala, que la vida da mil vueltas!!
Del 42,24%
Santaclarino
ANTI-K.
Antiperonista
Bien gorilon!! 
@jprosanfco1
IG: nico_mensa
💛🇦🇷💪"
r i p,"Used in phrase ""R.I.P.""",R.I.P KOBE💜💛
ranked,A reference to rankings. Most commonly used for video game or sports rankings,~ Dickinson HS ‘23🎓~ Bombers 18u gold 🦈💙 ~ #3 ranked in the country ~ #1 outfielder in the country ~ @TexasSoftball commit 🤘🏽🧡 ~ DHS T/F🐊
rights are,"Most often part of ""trans rights are human rights"" or ""women's rights are human rights"", both left-wing political phrases","Retired Registered Representative. LCMS. Women's rights are Human rights.
Independent. Women's March 2017. The fight against Fascism & Oppression continues."
rights are human,"Most often part of ""trans rights are human rights"" or ""women's rights are human rights"", both left-wing political phrases","Retired Registered Representative. LCMS. Women's rights are Human rights.
Independent. Women's March 2017. The fight against Fascism & Oppression continues."
rpg,"Short for ""role playing game""",😁 | 𖥻 rpg acc!
s s,No clear pattern of meaning,"ᴏʙʀɪɢᴀᴅᴏ ᴅᴇᴜs ᴘᴇʟᴏs ᴅɪᴀs ᴅᴇ ᴠɪᴅᴀ... ᴘᴇçᴏ ǫᴜᴇ ᴍᴇ ᴏʟʜᴇ, ᴇ ᴛᴏᴅᴏs sᴇᴜs ᴀɴᴊᴏs ᴍᴇ ɢᴜɪᴀᴍ. ✞"
scbwi,"Acronym for ""Society of Children's Book Writers and Illustrators","Aspiring children's book author with a background in school psychology, especially #SEL. Graduate of @ChildrensBookAc Member of #SCBWI, #RateYourStory, #12x12PB"
school football,"Part of the phrase ""high school football""","Official Twitter account for the Bishop Lynch High School Football Team. 6X State Champions: 1988, 1994, 1995, 2002, 2003 and 2016"
sometimes nsfw,"Short for ""sometimes not safe for work""","This is an 18+ sometimes NSFW account, proceed with ⚠️🔞|Tyara|24|MA|She/Her|🏳️‍🌈|K💚💍| Small biz owner: Cosmic Insanity Art| Wet For Her Affiliate|"
spoiler free,A reference to movie or TV spoilers,"https://t.co/lDZqSPMUgq

Caroline/MeowMix
She/Her  30⬆️ multi-fandom multiship 
No 🔞 /NSFW/NOT SPOILER FREE. Pro-ship. Wincest brain rot. Header by @tgtbata"
spoonie,A term for someone suffering from chronic illness,"Mama, Fur-Mama, Auntie, Sister, Friend 💞
✨Spoonie: autoimmune warrior extraordinaire✨"
telegram,An instant messaging application,Telegram: http://t.me/TC7177 Retired Litigation Paralegal; #IndigoChild #Researcher #TruthSeeker #Survivor #Widow #Mom #IAM❤️💫🙏
the leading,"A reference to the account's status (i.e. ""the leading consulting group"")","A New Look at #Motherhood. Pregnancy is the leading monthly magazine for first time #moms. Discover #pregnancy, #parenting, health and products."
tpwk,"An acronym for ""treat people with kindness"", a Harry Styles song",bcw || disney || tpwk ||
track and,"Most often, part of the phrase ""track and field""",Social Studies Teacher O. Central High Head Boys Track Coach/ Boys and Girls Club of Midland Jaguars Track and Field
trans,Short for transgender,BLM🔥 looter. LGBTQWERTYUIOP+ activist 🌈.  I identify as Sukhoi SU-35 aircraft. They/them. Trans women are women!
trans rights,"Most often as part of the phrase ""trans rights are human rights""",22 | Big Commie Energy | Proud Frame1 Owner | Trans Rights are Human Rights | Any Pronouns are Fine
ttrpg,"Short for ""tabletop role playing game""","Daniel- #Fantasy #TTRPG, #gamedesign & my lifelong WIP.  ⚔️ 🛡️  https://anchor.fm/primeval-fantasy - For Novel-writing/philosophy ➡  @Daniel_author"
ttrpgs,"Short for ""tabletop role playing games""",Loves TTRPGs and Vidya. Software dev. Musical Theater nerd. He/Him.
twink,A slang word for a young-looking gay man,Trying to become the biggest twink porn account 🔥None of the video’s are mine. I simply reblog. Let me know if you want me to remove anything.
twt,"An abbreviation for twitch, a service individuals use for streaming video games","Always overthinking video games, especially BioWare • Youtuber, Twitch Partner, EA Creator • side twt: @VeryAshe 💜 Biz: ashe@ladyinsanity.com"
us on instagram,"Part of the phrase ""follow us on instagram","Since 2003, Hope for Henry has improved the lives and recoveries for more than 60,000 hospitalized children. Follow us on Instagram: hopeforhenry"
vida,"Spanish for ""life""","Gozala, que la vida da mil vueltas!!
Del 42,24%
Santaclarino
ANTI-K.
Antiperonista
Bien gorilon!! 
@jprosanfco1
IG: nico_mensa
💛🇦🇷💪"
yoongi,A South Korean rapper with stage names Suga and Agust D,probably sobbing over yoongi • lil bit of a poet with a serious spending problem ✨ namjin biased wrecked • '97 • infj
your source,"Part of the phrase ""your source for""","Local news, alerts, events and more. We’re your source for all things Nyack and Piermont."
